context,distance,strategy,overlap_with_golddigger,fit_mean,fit_min,below_floor,novelty_mean,redundancy,role_dup
6e2bde8947fa:0,70,band_nofit,1.0,0.6971489511407105,0.5998536104465929,0.0,0.6973623853211008,0.3194456696510315,0.0
6e2bde8947fa:0,70,golddigger,1.0,0.6971489511407105,0.5998536104465929,0.0,0.6973623853211008,0.3194456696510315,0.0
6e2bde8947fa:0,90,random,0.0,0.5814864770977657,0.44001153732921183,0.375,0.5196674311926606,0.28491753339767456,0.375
6e2bde8947fa:0,90,metadata,0.0,0.7159536800304286,0.715762887451451,0.0,0.562901376146789,0.37482181191444397,0.0
6e2bde8947fa:0,90,nearest,0.0,0.4501150969329345,0.4321534016058231,0.625,0.0020642201834862386,0.9469375610351562,1.0
6e2bde8947fa:0,90,inverse,0.3333333333333333,0.6845271752221691,0.6009690774957911,0.0,0.899770642201835,0.466266006231308,0.0
6e2bde8947fa:0,90,band_nofit,1.0,0.6985189384269239,0.6009690774957911,0.0,0.8995986238532111,0.3144493103027344,0.0
6e2bde8947fa:0,90,golddigger,1.0,0.6985189384269239,0.6009690774957911,0.0,0.8995986238532111,0.3144493103027344,0.0
f7fbf8bf3afc:0,10,random,0.0,0.4138326656407555,0.21930656870954865,0.625,0.2720183486238532,0.3710440993309021,0.375
f7fbf8bf3afc:0,10,metadata,0.0,0.8515843388795646,0.8445255850568508,0.0,0.6404816513761469,0.5517037510871887,0.0
f7fbf8bf3afc:0,10,nearest,0.0,0.44557513178041147,0.2870278483455938,0.5,0.0020642201834862386,0.8414198756217957,1.0
f7fbf8bf3afc:0,10,inverse,0.3333333333333333,0.5230890463711018,0.05320018647527538,0.25,0.10022935779816514,0.5313428640365601,0.375
f7fbf8bf3afc:0,10,band_nofit,0.45454545454545453,0.5607555014382898,0.2926870543061876,0.25,0.09902522935779817,0.4940088093280792,0.125
f7fbf8bf3afc:0,10,golddigger,1.0,0.626549840470537,0.5250848119673506,0.0,0.09885321100917432,0.4735960066318512,0.125
f7fbf8bf3afc:0,30,random,0.0,0.4138326656407555,0.21930656870954865,0.625,0.2720183486238532,0.3710440993309021,0.375
f7fbf8bf3afc:0,30,metadata,0.0,0.8515843388795646,0.8445255850568508,0.0,0.6404816513761469,0.5517037510871887,0.0
f7fbf8bf3afc:0,30,nearest,0.0,0.44557513178041147,0.2870278483455938,0.5,0.0020642201834862386,0.8414198756217957,1.0
f7fbf8bf3afc:0,30,inverse,0.23076923076923078,0.31218002929623373,0.06070879794767968,0.625,0.3002293577981652,0.3981688916683197,0.5
f7fbf8bf3afc:0,30,band_nofit,0.06666666666666667,0.3216510041261337,0.09073298989569271,0.75,0.3001720183486239,0.30700403451919556,0.125
f7fbf8bf3afc:0,30,golddigger,1.0,0.626411315070095,0.4515859245317933,0.0,0.30091743119266057,0.32381758093833923,0.125
f7fbf8bf3afc:0,50,random,0.0,0.4138326656407555,0.21930656870954865,0.625,0.2720183486238532,0.3710440993309021,0.375
f7fbf8bf3afc:0,50,metadata,0.0,0.8515843388795646,0.8445255850568508,0.0,0.6404816513761469,0.5517037510871887,0.0
f7fbf8bf3afc:0,50,nearest,0.0,0.44557513178041147,0.2870278483455938,0.5,0.0020642201834862386,0.8414198756217957,1.0
f7fbf8bf3afc:0,50,inverse,0.14285714285714285,0.3340687174236343,0.09046173304406872,0.625,0.49977064220183487,0.30188363790512085,0.25
f7fbf8bf3afc:0,50,band_nofit,0.45454545454545453,0.48633444002987514,0.1755786833716921,0.375,0.49954128440366974,0.26040783524513245,0.25
f7fbf8bf3afc:0,50,golddigger,1.0,0.5588804296021784,0.45105787906879996,0.0,0.4994266055045872,0.2668188512325287,0.25
f7fbf8bf3afc:0,70,random,0.0,0.4138326656407555,0.21930656870954865,0.625,0.2720183486238532,0.3710440993309021,0.375
f7fbf8bf3afc:0,70,metadata,0.0,0.8515843388795646,0.8445255850568508,0.0,0.6404816513761469,0.5517037510871887,0.0
f7fbf8bf3afc:0,70,nearest,0.0,0.44557513178041147,0.2870278483455938,0.5,0.0020642201834862386,0.8414198756217957,1.0
f7fbf8bf3afc:0,70,inverse,0.3333333333333333,0.3717553135625483,0.11565495798283872,0.5,0.6997706422018348,0.3348202407360077,0.375
f7fbf8bf3afc:0,70,band_nofit,0.3333333333333333,0.5035340176254358,0.1724507680999705,0.375,0.6993119266055046,0.29227009415626526,0.125
f7fbf8bf3afc:0,70,golddigger,1.0,0.6184030189936258,0.5201523122544822,0.0,0.7009174311926605,0.30713871121406555,0.0
f7fbf8bf3afc:0,90,random,0.0,0.4138326656407555,0.21930656870954865,0.625,0.2720183486238532,0.3710440993309021,0.375
f7fbf8bf3afc:0,90,metadata,0.0,0.8515843388795646,0.8445255850568508,0.0,0.6404816513761469,0.5517037510871887,0.0
f7fbf8bf3afc:0,90,nearest,0.0,0.44557513178041147,0.2870278483455938,0.5,0.0020642201834862386,0.8414198756217957,1.0
